Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 6,610229,A.N. Pritzker School,743,44,5.92%,65,8.75%,368,49.53%
Network 4,610038,Abraham Lincoln Elementary School,838,47,5.61%,51,6.09%,122,14.56%
Charter,400009,Academy for Global Citizenship Charter School,450,124,27.56%,52,11.56%,343,76.22%
Charter,400010,ACE Technical Charter School,439,22,5.01%,78,17.77%,423,96.36%
Network 12,610281,Adam Clayton Powell Paideia Community Academy ES,558,21,3.76%,59,10.57%,497,89.07%
Network 10,610185,Adlai E Stevenson Elementary School,"1,308",533,40.75%,195,14.91%,"1,115",85.24%
Network 8,609993,Agustin Lara Elementary Academy,481,211,43.87%,42,8.73%,451,93.76%
Service Leadership Academies,610513,Air Force Academy High School,328,7,2.13%,45,13.72%,289,88.11%
OS4,610334,Al Raby High School,479,11,2.30%,141,29.44%,468,97.70%
Charter,400011,Alain Locke Charter School,569,,,43,7.56%,489,85.94%
Network 1,610212,Albany Park Multicultural Academy,286,44,15.38%,37,12.94%,279,97.55%
Network 4,609720,Albert G Lane Technical High School,"4,055",24,0.59%,183,4.51%,"2,280",56.23%
Network 5,610342,Albert R Sabin Elementary Magnet School,598,157,26.25%,65,10.87%,518,86.62%
Network 1,610209,Alessandro Volta Elementary School,949,523,55.11%,118,12.43%,835,87.99%
Network 13,609808,Alex Haley Elementary Academy,562,1,0.18%,65,11.57%,542,96.44%
Network 4,609799,Alexander Graham Bell Elementary School,"1,007",43,4.27%,114,11.32%,162,16.09%
Network 6,609947,Alexander Graham Elementary School,482,86,17.84%,50,10.37%,456,94.61%
Network 4,609963,Alexander Hamilton Elementary School,454,19,4.19%,41,9.03%,100,22.03%
Network 5,610098,Alfred Nobel Elementary School,858,310,36.13%,108,12.59%,772,89.98%
Network 10,609788,Alice L Barnard Computer Math & Science Ctr ES,308,1,0.32%,36,11.69%,245,79.55%
Charter,400012,Amandla Charter School,323,9,2.79%,72,22.29%,309,95.67%
Network 5,610131,Ambrose Plamondon Elementary School,154,40,25.97%,24,15.58%,146,94.81%
Network 12,610316,Amelia Earhart Options for Knowledge ES,260,1,0.38%,22,8.46%,177,68.08%
AUSL,610339,Amos Alonzo Stagg Elementary School,507,6,1.18%,86,16.96%,466,91.91%
Network 9,609837,Andrew Carnegie Elementary School,610,,,49,8.03%,477,78.20%
Network 6,610060,Andrew Jackson Elementary Language Academy,565,49,8.67%,40,7.08%,253,44.78%
Network 11,609869,Anna R. Langford Community Academy,373,2,0.54%,46,12.33%,330,88.47%
ISP,610084,Annie Keller Elementary Gifted Magnet School,244,2,0.82%,7,2.87%,54,22.13%
ISP,609951,Ariel Elementary Community Academy,542,2,0.37%,61,11.25%,426,78.60%
Network 12,610171,Arnold Mireles Elementary Academy,665,167,25.11%,79,11.88%,642,96.54%
