Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610212,ALBANY PARK,  243 ,  67 ,27.6%,  38 ,15.6%,  223 ,91.8%
Network 1,609792,BATEMAN,  887 ,  286 ,32.2%,  135 ,15.2%,  479 ,54.0%
Network 1,610083,BEARD,  195 ,  65 ,33.3%,  113 ,58.0%,  54 ,27.7%
Network 1,609796,BEAUBIEN,"  1,020 ",  144 ,14.1%,  111 ,10.9%,  340 ,33.3%
Network 1,609810,BRIDGE,"  1,063 ",  260 ,24.5%,  134 ,12.6%,  567 ,53.3%
Network 1,609836,CANTY,  765 ,  125 ,16.3%,  96 ,12.6%,  286 ,37.4%
Network 1,609857,CLEVELAND,  524 ,  179 ,34.2%,  150 ,28.6%,  375 ,71.6%
Network 1,609884,DEVER,  713 ,  212 ,29.7%,  89 ,12.5%,  254 ,35.6%
Network 1,609874,DIRKSEN,  892 ,  410 ,46.0%,  86 ,9.6%,  388 ,43.5%
Network 1,609901,EDGEBROOK,  487 ,  34 ,7.0%,  51 ,10.5%,  46 ,9.5%
Network 1,609794,EDISON,  250 ,,,  16 ,6.4%,  19 ,7.6%
Network 1,610523,EDISON PARK,  514 ,  44 ,8.6%,  97 ,18.9%,  50 ,9.7%
Network 1,609912,FARNSWORTH,  566 ,  203 ,35.9%,  151 ,26.7%,  285 ,50.4%
Network 1,609937,GARVY,  774 ,  152 ,19.6%,  72 ,9.3%,  230 ,29.7%
Network 1,609949,GRAY,"  1,055 ",  317 ,30.1%,  165 ,15.6%,  721 ,68.3%
Network 1,609972,HAUGAN,  893 ,  491 ,55.0%,  149 ,16.7%,  631 ,70.7%
Network 1,609988,HENRY,  515 ,  244 ,47.4%,  89 ,17.3%,  382 ,74.2%
Network 1,609994,HIBBARD,  875 ,  450 ,51.4%,  71 ,8.1%,  572 ,65.4%
Network 1,609995,HITCH,  519 ,  88 ,17.0%,  74 ,14.3%,  206 ,39.7%
Network 1,610089,MURPHY,  546 ,  165 ,30.2%,  93 ,17.0%,  231 ,42.3%
